Pulse Height /electron (V);

9.617189446e-10

Npe*G_PMT  t_b (ns)  t_r (ns)  t_f (ns);
9.4e+07    -6.585    -3.905    14.88
9.5e+07    -6.585    -3.915    14.9
9.6e+07    -6.585    -3.925    14.93
9.7e+07    -6.585    -3.925    14.95
9.8e+07    -6.585    -3.935    14.97
9.9e+07    -6.585    -3.945    15
1e+08    -6.585    -3.955    15.03
1.01e+08    -6.585    -3.965    15.04
1.02e+08    -6.585    -3.975    15.08
1.03e+08    -6.585    -3.985    15.1
1.04e+08    -6.585    -3.995    15.13
1.05e+08    -6.585    -4.005    15.15
1.06e+08    -6.585    -4.015    15.17
1.07e+08    -6.585    -4.025    15.2
1.08e+08    -6.585    -4.035    15.22
1.09e+08    -6.585    -4.035    15.24
1.1e+08    -6.585    -4.045    15.27
1.11e+08    -6.585    -4.055    15.29
1.12e+08    -6.585    -4.065    15.31
1.13e+08    -6.585    -4.075    15.33
1.14e+08    -6.585    -4.075    15.35
1.15e+08    -6.585    -4.085    15.38
1.16e+08    -6.585    -4.095    15.4
1.17e+08    -6.585    -4.105    15.42
1.18e+08    -6.585    -4.115    15.44
1.19e+08    -6.585    -4.115    15.46
1.2e+08    -6.585    -4.125    15.47
1.21e+08    -6.585    -4.135    15.5
1.22e+08    -6.585    -4.145    15.52
1.23e+08    -6.585    -4.145    15.54
1.24e+08    -6.585    -4.155    15.56
1.25e+08    -6.585    -4.165    15.58
1.26e+08    -6.585    -4.175    15.6
1.27e+08    -6.585    -4.175    15.62
1.28e+08    -6.585    -4.185    15.63
1.29e+08    -6.585    -4.195    15.66
1.3e+08    -6.585    -4.195    15.68
1.31e+08    -6.585    -4.205    15.7
1.32e+08    -6.585    -4.215    15.72
1.33e+08    -6.585    -4.215    15.74
1.34e+08    -6.585    -4.225    15.75
1.35e+08    -6.585    -4.235    15.77
1.36e+08    -6.585    -4.235    15.79
1.37e+08    -6.585    -4.245    15.81
1.38e+08    -6.585    -4.255    15.83
1.39e+08    -6.585    -4.255    15.84
1.4e+08    -6.585    -4.265    15.86
1.41e+08    -6.585    -4.275    15.88
1.42e+08    -6.585    -4.275    15.9
1.43e+08    -6.585    -4.285    15.91
1.44e+08    -6.585    -4.295    15.93
1.45e+08    -6.585    -4.295    15.95
1.46e+08    -6.585    -4.305    15.96
1.47e+08    -6.585    -4.305    15.98
1.48e+08    -6.585    -4.315    16
1.49e+08    -6.585    -4.325    16
1.5e+08    -6.585    -4.325    16.02
1.51e+08    -6.585    -4.335    16.04
1.52e+08    -6.585    -4.335    16.05
1.53e+08    -6.585    -4.345    16.07
1.54e+08    -6.585    -4.345    16.09
1.55e+08    -6.585    -4.355    16.11
1.56e+08    -6.585    -4.365    16.12
1.57e+08    -6.585    -4.365    16.13
1.58e+08    -6.585    -4.375    16.16
1.59e+08    -6.585    -4.375    16.16
1.6e+08    -6.585    -4.385    16.18
1.61e+08    -6.585    -4.385    16.2
1.62e+08    -6.585    -4.395    16.21
1.63e+08    -6.585    -4.395    16.23
1.64e+08    -6.585    -4.405    16.25
1.65e+08    -6.585    -4.415    16.25
1.66e+08    -6.585    -4.415    16.27
1.67e+08    -6.585    -4.425    16.29
1.68e+08    -6.585    -4.425    16.3
1.69e+08    -6.585    -4.435    16.32
1.7e+08    -6.585    -4.435    16.34
1.71e+08    -6.585    -4.445    16.34
1.72e+08    -6.585    -4.445    16.36
1.73e+08    -6.585    -4.455    16.38
1.74e+08    -6.585    -4.455    16.38
1.75e+08    -6.585    -4.465    16.41
1.76e+08    -6.585    -4.465    16.41
1.77e+08    -6.585    -4.475    16.43
