Pulse Height /electron (V);

9.617189446e-10

Npe*G_PMT  t_b (ns)  t_r (ns)  t_f (ns);
5.92e+08    -6.585    -5.435    19.33
5.93e+08    -6.585    -5.435    19.33
5.94e+08    -6.585    -5.435    19.33
5.95e+08    -6.585    -5.445    19.35
5.96e+08    -6.585    -5.445    19.35
5.97e+08    -6.585    -5.445    19.36
5.98e+08    -6.585    -5.445    19.36
5.99e+08    -6.585    -5.445    19.36
6e+08    -6.585    -5.445    19.36
6.01e+08    -6.585    -5.445    19.36
6.02e+08    -6.585    -5.445    19.36
6.03e+08    -6.585    -5.455    19.37
6.04e+08    -6.585    -5.455    19.37
6.05e+08    -6.585    -5.455    19.39
6.06e+08    -6.585    -5.455    19.39
6.07e+08    -6.585    -5.455    19.39
6.08e+08    -6.585    -5.455    19.39
6.09e+08    -6.585    -5.455    19.39
6.1e+08    -6.585    -5.455    19.4
6.11e+08    -6.585    -5.465    19.4
6.12e+08    -6.585    -5.465    19.4
6.13e+08    -6.585    -5.465    19.42
6.14e+08    -6.585    -5.465    19.42
6.15e+08    -6.585    -5.465    19.43
6.16e+08    -6.585    -5.465    19.43
6.17e+08    -6.585    -5.465    19.43
6.18e+08    -6.585    -5.465    19.43
6.19e+08    -6.585    -5.475    19.43
6.2e+08    -6.585    -5.475    19.43
6.21e+08    -6.585    -5.475    19.44
6.22e+08    -6.585    -5.475    19.44
6.23e+08    -6.585    -5.475    19.46
6.24e+08    -6.585    -5.475    19.46
6.25e+08    -6.585    -5.475    19.46
6.26e+08    -6.585    -5.475    19.46
6.27e+08    -6.585    -5.475    19.46
6.28e+08    -6.585    -5.485    19.46
6.29e+08    -6.585    -5.485    19.47
6.3e+08    -6.585    -5.485    19.47
6.31e+08    -6.585    -5.485    19.49
6.32e+08    -6.585    -5.485    19.49
6.33e+08    -6.585    -5.485    19.49
6.34e+08    -6.585    -5.485    19.5
6.35e+08    -6.585    -5.485    19.5
6.36e+08    -6.585    -5.495    19.5
6.37e+08    -6.585    -5.495    19.5
6.38e+08    -6.585    -5.495    19.5
6.39e+08    -6.585    -5.495    19.51
6.4e+08    -6.585    -5.495    19.51
6.41e+08    -6.585    -5.495    19.51
6.42e+08    -6.585    -5.495    19.53
6.43e+08    -6.585    -5.495    19.53
6.44e+08    -6.585    -5.495    19.53
6.45e+08    -6.585    -5.505    19.54
6.46e+08    -6.585    -5.505    19.54
6.47e+08    -6.585    -5.505    19.54
6.48e+08    -6.585    -5.505    19.54
6.49e+08    -6.585    -5.505    19.54
6.5e+08    -6.585    -5.505    19.56
6.51e+08    -6.585    -5.505    19.56
6.52e+08    -6.585    -5.505    19.56
6.53e+08    -6.585    -5.505    19.57
6.54e+08    -6.585    -5.515    19.57
6.55e+08    -6.585    -5.515    19.57
6.56e+08    -6.585    -5.515    19.57
6.57e+08    -6.585    -5.515    19.57
6.58e+08    -6.585    -5.515    19.58
6.59e+08    -6.585    -5.515    19.58
6.6e+08    -6.585    -5.515    19.58
6.61e+08    -6.585    -5.515    19.6
6.62e+08    -6.585    -5.515    19.6
6.63e+08    -6.585    -5.525    19.6
6.64e+08    -6.585    -5.525    19.61
6.65e+08    -6.585    -5.525    19.61
6.66e+08    -6.585    -5.525    19.61
6.67e+08    -6.585    -5.525    19.61
6.68e+08    -6.585    -5.525    19.61
6.69e+08    -6.585    -5.525    19.61
6.7e+08    -6.585    -5.525    19.62
6.71e+08    -6.585    -5.525    19.62
6.72e+08    -6.585    -5.535    19.62
6.73e+08    -6.585    -5.535    19.64
6.74e+08    -6.585    -5.535    19.64
6.75e+08    -6.585    -5.535    19.64
6.76e+08    -6.585    -5.535    19.64
6.77e+08    -6.585    -5.535    19.64
6.78e+08    -6.585    -5.535    19.65
6.79e+08    -6.585    -5.535    19.65
6.8e+08    -6.585    -5.535    19.65
6.81e+08    -6.585    -5.545    19.67
6.82e+08    -6.585    -5.545    19.67
6.83e+08    -6.585    -5.545    19.67
6.84e+08    -6.585    -5.545    19.68
6.85e+08    -6.585    -5.545    19.68
6.86e+08    -6.585    -5.545    19.68
6.87e+08    -6.585    -5.545    19.68
6.88e+08    -6.585    -5.545    19.68
6.89e+08    -6.585    -5.545    19.68
6.9e+08    -6.585    -5.555    19.69
6.91e+08    -6.585    -5.555    19.69
6.92e+08    -6.585    -5.555    19.69
6.93e+08    -6.585    -5.555    19.71
6.94e+08    -6.585    -5.555    19.71
6.95e+08    -6.585    -5.555    19.71
6.96e+08    -6.585    -5.555    19.71
6.97e+08    -6.585    -5.555    19.71
6.98e+08    -6.585    -5.555    19.71
6.99e+08    -6.585    -5.555    19.72
7e+08    -6.585    -5.565    19.72
7.01e+08    -6.585    -5.565    19.72
7.02e+08    -6.585    -5.565    19.74
7.03e+08    -6.585    -5.565    19.74
7.04e+08    -6.585    -5.565    19.74
7.05e+08    -6.585    -5.565    19.75
7.06e+08    -6.585    -5.565    19.75
7.07e+08    -6.585    -5.565    19.75
7.08e+08    -6.585    -5.565    19.75
7.09e+08    -6.585    -5.575    19.75
7.1e+08    -6.585    -5.575    19.75
7.11e+08    -6.585    -5.575    19.76
7.12e+08    -6.585    -5.575    19.76
7.13e+08    -6.585    -5.575    19.76
7.14e+08    -6.585    -5.575    19.78
7.15e+08    -6.585    -5.575    19.78
7.16e+08    -6.585    -5.575    19.78
7.17e+08    -6.585    -5.575    19.79
7.18e+08    -6.585    -5.575    19.79
7.19e+08    -6.585    -5.585    19.79
7.2e+08    -6.585    -5.585    19.79
7.21e+08    -6.585    -5.585    19.79
7.22e+08    -6.585    -5.585    19.79
7.23e+08    -6.585    -5.585    19.81
7.24e+08    -6.585    -5.585    19.81
7.25e+08    -6.585    -5.585    19.81
7.26e+08    -6.585    -5.585    19.82
7.27e+08    -6.585    -5.585    19.82
7.28e+08    -6.585    -5.585    19.82
7.29e+08    -6.585    -5.595    19.82
7.3e+08    -6.585    -5.595    19.82
7.31e+08    -6.585    -5.595    19.82
7.32e+08    -6.585    -5.595    19.83
7.33e+08    -6.585    -5.595    19.83
7.34e+08    -6.585    -5.595    19.83
7.35e+08    -6.585    -5.595    19.85
7.36e+08    -6.585    -5.595    19.85
7.37e+08    -6.585    -5.595    19.85
7.38e+08    -6.585    -5.595    19.86
7.39e+08    -6.585    -5.605    19.86
7.4e+08    -6.585    -5.605    19.86
7.41e+08    -6.585    -5.605    19.86
7.42e+08    -6.585    -5.605    19.86
7.43e+08    -6.585    -5.605    19.86
7.44e+08    -6.585    -5.605    19.87
7.45e+08    -6.585    -5.605    19.87
7.46e+08    -6.585    -5.605    19.87
7.47e+08    -6.585    -5.605    19.87
7.48e+08    -6.585    -5.605    19.89
7.49e+08    -6.585    -5.615    19.89
7.5e+08    -6.585    -5.615    19.89
7.51e+08    -6.585    -5.615    19.89
7.52e+08    -6.585    -5.615    19.89
7.53e+08    -6.585    -5.615    19.89
7.54e+08    -6.585    -5.615    19.9
7.55e+08    -6.585    -5.615    19.9
7.56e+08    -6.585    -5.615    19.9
7.57e+08    -6.585    -5.615    19.92
7.58e+08    -6.585    -5.615    19.92
7.59e+08    -6.585    -5.625    19.92
7.6e+08    -6.585    -5.625    19.93
7.61e+08    -6.585    -5.625    19.93
7.62e+08    -6.585    -5.625    19.93
7.63e+08    -6.585    -5.625    19.93
7.64e+08    -6.585    -5.625    19.93
7.65e+08    -6.585    -5.625    19.93
7.66e+08    -6.585    -5.625    19.93
7.67e+08    -6.585    -5.625    19.94
7.68e+08    -6.585    -5.625    19.94
7.69e+08    -6.585    -5.625    19.94
7.7e+08    -6.585    -5.635    19.96
7.71e+08    -6.585    -5.635    19.96
7.72e+08    -6.585    -5.635    19.96
7.73e+08    -6.585    -5.635    19.96
7.74e+08    -6.585    -5.635    19.96
7.75e+08    -6.585    -5.635    19.96
7.76e+08    -6.585    -5.635    19.96
7.77e+08    -6.585    -5.635    19.97
7.78e+08    -6.585    -5.635    19.97
7.79e+08    -6.585    -5.635    19.97
7.8e+08    -6.585    -5.635    19.99
7.81e+08    -6.585    -5.645    19.99
7.82e+08    -6.585    -5.645    19.99
7.83e+08    -6.585    -5.645    20
7.84e+08    -6.585    -5.645    20
7.85e+08    -6.585    -5.645    20
7.86e+08    -6.585    -5.645    20
7.87e+08    -6.585    -5.645    20
7.88e+08    -6.585    -5.645    20
7.89e+08    -6.585    -5.645    20
7.9e+08    -6.585    -5.645    20.01
7.91e+08    -6.585    -5.655    20.01
7.92e+08    -6.585    -5.655    20.01
7.93e+08    -6.585    -5.655    20.03
7.94e+08    -6.585    -5.655    20.03
7.95e+08    -6.585    -5.655    20.03
7.96e+08    -6.585    -5.655    20.03
7.97e+08    -6.585    -5.655    20.04
7.98e+08    -6.585    -5.655    20.04
7.99e+08    -6.585    -5.655    20.04
8e+08    -6.585    -5.655    20.04
8.01e+08    -6.585    -5.655    20.04
8.02e+08    -6.585    -5.665    20.04
8.03e+08    -6.585    -5.665    20.04
8.04e+08    -6.585    -5.665    20.06
8.05e+08    -6.585    -5.665    20.06
8.06e+08    -6.585    -5.665    20.06
8.07e+08    -6.585    -5.665    20.07
8.08e+08    -6.585    -5.665    20.07
8.09e+08    -6.585    -5.665    20.07
8.1e+08    -6.585    -5.665    20.07
8.11e+08    -6.585    -5.665    20.07
8.12e+08    -6.585    -5.665    20.07
8.13e+08    -6.585    -5.665    20.07
8.14e+08    -6.585    -5.675    20.08
8.15e+08    -6.585    -5.675    20.08
8.16e+08    -6.585    -5.675    20.08
8.17e+08    -6.585    -5.675    20.1
8.18e+08    -6.585    -5.675    20.1
8.19e+08    -6.585    -5.675    20.1
8.2e+08    -6.585    -5.675    20.1
8.21e+08    -6.585    -5.675    20.11
8.22e+08    -6.585    -5.675    20.11
8.23e+08    -6.585    -5.675    20.11
8.24e+08    -6.585    -5.675    20.11
8.25e+08    -6.585    -5.685    20.11
8.26e+08    -6.585    -5.685    20.11
8.27e+08    -6.585    -5.685    20.11
8.28e+08    -6.585    -5.685    20.12
8.29e+08    -6.585    -5.685    20.12
8.3e+08    -6.585    -5.685    20.12
8.31e+08    -6.585    -5.685    20.14
8.32e+08    -6.585    -5.685    20.14
8.33e+08    -6.585    -5.685    20.14
8.34e+08    -6.585    -5.685    20.14
8.35e+08    -6.585    -5.685    20.14
8.36e+08    -6.585    -5.695    20.14
8.37e+08    -6.585    -5.695    20.14
8.38e+08    -6.585    -5.695    20.14
8.39e+08    -6.585    -5.695    20.15
8.4e+08    -6.585    -5.695    20.15
8.41e+08    -6.585    -5.695    20.15
8.42e+08    -6.585    -5.695    20.17
8.43e+08    -6.585    -5.695    20.17
8.44e+08    -6.585    -5.695    20.17
8.45e+08    -6.585    -5.695    20.17
8.46e+08    -6.585    -5.695    20.18
8.47e+08    -6.585    -5.695    20.18
8.48e+08    -6.585    -5.705    20.18
8.49e+08    -6.585    -5.705    20.18
8.5e+08    -6.585    -5.705    20.18
8.51e+08    -6.585    -5.705    20.18
8.52e+08    -6.585    -5.705    20.18
8.53e+08    -6.585    -5.705    20.19
8.54e+08    -6.585    -5.705    20.19
8.55e+08    -6.585    -5.705    20.19
8.56e+08    -6.585    -5.705    20.19
8.57e+08    -6.585    -5.705    20.21
8.58e+08    -6.585    -5.705    20.21
8.59e+08    -6.585    -5.705    20.21
8.6e+08    -6.585    -5.715    20.21
8.61e+08    -6.585    -5.715    20.21
8.62e+08    -6.585    -5.715    20.21
8.63e+08    -6.585    -5.715    20.21
8.64e+08    -6.585    -5.715    20.22
8.65e+08    -6.585    -5.715    20.22
8.66e+08    -6.585    -5.715    20.22
8.67e+08    -6.585    -5.715    20.22
8.68e+08    -6.585    -5.715    20.24
8.69e+08    -6.585    -5.715    20.24
8.7e+08    -6.585    -5.715    20.24
8.71e+08    -6.585    -5.715    20.25
8.72e+08    -6.585    -5.725    20.25
8.73e+08    -6.585    -5.725    20.25
8.74e+08    -6.585    -5.725    20.25
8.75e+08    -6.585    -5.725    20.25
8.76e+08    -6.585    -5.725    20.25
8.77e+08    -6.585    -5.725    20.25
8.78e+08    -6.585    -5.725    20.25
8.79e+08    -6.585    -5.725    20.26
8.8e+08    -6.585    -5.725    20.26
8.81e+08    -6.585    -5.725    20.26
8.82e+08    -6.585    -5.725    20.26
8.83e+08    -6.585    -5.725    20.28
8.84e+08    -6.585    -5.735    20.28
8.85e+08    -6.585    -5.735    20.28
8.86e+08    -6.585    -5.735    20.29
8.87e+08    -6.585    -5.735    20.29
8.88e+08    -6.585    -5.735    20.29
8.89e+08    -6.585    -5.735    20.29
8.9e+08    -6.585    -5.735    20.29
8.91e+08    -6.585    -5.735    20.29
8.92e+08    -6.585    -5.735    20.29
8.93e+08    -6.585    -5.735    20.29
8.94e+08    -6.585    -5.735    20.31
8.95e+08    -6.585    -5.735    20.31
8.96e+08    -6.585    -5.735    20.31
8.97e+08    -6.585    -5.745    20.31
8.98e+08    -6.585    -5.745    20.32
8.99e+08    -6.585    -5.745    20.32
9e+08    -6.585    -5.745    20.32
9.01e+08    -6.585    -5.745    20.32
9.02e+08    -6.585    -5.745    20.32
9.03e+08    -6.585    -5.745    20.32
9.04e+08    -6.585    -5.745    20.32
9.05e+08    -6.585    -5.745    20.33
9.06e+08    -6.585    -5.745    20.33
9.07e+08    -6.585    -5.745    20.33
9.08e+08    -6.585    -5.745    20.33
9.09e+08    -6.585    -5.755    20.35
9.1e+08    -6.585    -5.755    20.35
9.11e+08    -6.585    -5.755    20.35
9.12e+08    -6.585    -5.755    20.35
9.13e+08    -6.585    -5.755    20.36
9.14e+08    -6.585    -5.755    20.36
9.15e+08    -6.585    -5.755    20.36
9.16e+08    -6.585    -5.755    20.36
9.17e+08    -6.585    -5.755    20.36
9.18e+08    -6.585    -5.755    20.36
9.19e+08    -6.585    -5.755    20.36
9.2e+08    -6.585    -5.755    20.36
9.21e+08    -6.585    -5.755    20.37
9.22e+08    -6.585    -5.765    20.37
9.23e+08    -6.585    -5.765    20.37
9.24e+08    -6.585    -5.765    20.37
9.25e+08    -6.585    -5.765    20.39
9.26e+08    -6.585    -5.765    20.39
9.27e+08    -6.585    -5.765    20.39
9.28e+08    -6.585    -5.765    20.39
9.29e+08    -6.585    -5.765    20.39
9.3e+08    -6.585    -5.765    20.39
9.31e+08    -6.585    -5.765    20.39
9.32e+08    -6.585    -5.765    20.39
9.33e+08    -6.585    -5.765    20.4
9.34e+08    -6.585    -5.765    20.4
9.35e+08    -6.585    -5.775    20.4
9.36e+08    -6.585    -5.775    20.4
9.37e+08    -6.585    -5.775    20.42
9.38e+08    -6.585    -5.775    20.42
9.39e+08    -6.585    -5.775    20.42
9.4e+08    -6.585    -5.775    20.42
9.41e+08    -6.585    -5.775    20.43
9.42e+08    -6.585    -5.775    20.43
9.43e+08    -6.585    -5.775    20.43
9.44e+08    -6.585    -5.775    20.43
9.45e+08    -6.585    -5.775    20.43
9.46e+08    -6.585    -5.775    20.43
9.47e+08    -6.585    -5.775    20.43
9.48e+08    -6.585    -5.785    20.43
9.49e+08    -6.585    -5.785    20.44
9.5e+08    -6.585    -5.785    20.44
9.51e+08    -6.585    -5.785    20.44
9.52e+08    -6.585    -5.785    20.44
9.53e+08    -6.585    -5.785    20.46
9.54e+08    -6.585    -5.785    20.46
9.55e+08    -6.585    -5.785    20.46
9.56e+08    -6.585    -5.785    20.46
9.57e+08    -6.585    -5.785    20.46
9.58e+08    -6.585    -5.785    20.46
9.59e+08    -6.585    -5.785    20.46
9.6e+08    -6.585    -5.785    20.46
9.61e+08    -6.585    -5.785    20.47
9.62e+08    -6.585    -5.795    20.47
9.63e+08    -6.585    -5.795    20.47
9.64e+08    -6.585    -5.795    20.47
9.65e+08    -6.585    -5.795    20.49
9.66e+08    -6.585    -5.795    20.49
9.67e+08    -6.585    -5.795    20.49
9.68e+08    -6.585    -5.795    20.49
9.69e+08    -6.585    -5.795    20.5
9.7e+08    -6.585    -5.795    20.5
9.71e+08    -6.585    -5.795    20.5
9.72e+08    -6.585    -5.795    20.5
9.73e+08    -6.585    -5.795    20.5
9.74e+08    -6.585    -5.795    20.5
9.75e+08    -6.585    -5.805    20.5
9.76e+08    -6.585    -5.805    20.5
9.77e+08    -6.585    -5.805    20.5
9.78e+08    -6.585    -5.805    20.51
9.79e+08    -6.585    -5.805    20.51
9.8e+08    -6.585    -5.805    20.51
9.81e+08    -6.585    -5.805    20.51
9.82e+08    -6.585    -5.805    20.53
9.83e+08    -6.585    -5.805    20.53
9.84e+08    -6.585    -5.805    20.53
9.85e+08    -6.585    -5.805    20.53
9.86e+08    -6.585    -5.805    20.54
9.87e+08    -6.585    -5.805    20.54
9.88e+08    -6.585    -5.805    20.54
9.89e+08    -6.585    -5.815    20.54
9.9e+08    -6.585    -5.815    20.54
9.91e+08    -6.585    -5.815    20.54
9.92e+08    -6.585    -5.815    20.54
9.93e+08    -6.585    -5.815    20.54
9.94e+08    -6.585    -5.815    20.54
9.95e+08    -6.585    -5.815    20.56
9.96e+08    -6.585    -5.815    20.56
9.97e+08    -6.585    -5.815    20.56
9.98e+08    -6.585    -5.815    20.56
9.99e+08    -6.585    -5.815    20.57
1e+09    -6.585    -5.815    20.57
1.1e+09    -6.585    -5.885    20.785
1.2e+09    -6.585    -5.945    20.985
1.3e+09    -6.585    -6.005    21.175
1.4e+09    -6.585    -6.055    21.345
1.5e+09    -6.585    -6.105    21.505
1.6e+09    -6.585    -6.145    21.655
1.7e+09    -6.585    -6.185    21.785
1.8e+09    -6.585    -6.225    21.915
1.9e+09    -6.585    -6.265    22.045
2e+09    -6.585    -6.295    22.155
2.1e+09    -6.585    -6.325    22.265
2.2e+09    -6.585    -6.355    22.375
2.3e+09    -6.585    -6.385    22.465
2.4e+09    -6.585    -6.415    22.565
2.5e+09    -6.585    -6.445    22.655
2.6e+09    -6.585    -6.465    22.735
2.7e+09    -6.585    -6.495    22.825
2.8e+09    -6.585    -6.515    22.905
2.9e+09    -6.585    -6.535    22.975
3e+09    -6.585    -6.565    23.045
